city,year,avg_temp
Sydney,1841,16.56
Sydney,1842,16.57
Sydney,1843,16.88
Sydney,1844,16.22
Sydney,1845,16.64
Sydney,1846,17.07
Sydney,1847,16.60
Sydney,1848,16.25
Sydney,1849,16.08
Sydney,1850,16.51
Sydney,1851,16.60
Sydney,1852,16.39
Sydney,1853,16.10
Sydney,1854,16.48
Sydney,1855,16.90
Sydney,1856,16.76
Sydney,1857,16.69
Sydney,1858,17.04
Sydney,1859,16.26
Sydney,1860,16.33
Sydney,1861,16.72
Sydney,1862,16.90
Sydney,1863,16.53
Sydney,1864,16.37
Sydney,1865,16.75
Sydney,1866,16.96
Sydney,1867,17.38
Sydney,1868,16.96
Sydney,1869,16.91
Sydney,1870,16.84
Sydney,1871,16.75
Sydney,1872,16.71
Sydney,1873,16.78
Sydney,1874,16.75
Sydney,1875,16.95
Sydney,1876,17.30
Sydney,1877,17.04
Sydney,1878,17.24
Sydney,1879,16.31
Sydney,1880,16.65
Sydney,1881,16.63
Sydney,1882,17.03
Sydney,1883,16.46
Sydney,1884,16.86
Sydney,1885,16.95
Sydney,1886,16.88
Sydney,1887,16.66
Sydney,1888,16.72
Sydney,1889,17.17
Sydney,1890,16.77
Sydney,1891,16.74
Sydney,1892,16.60
Sydney,1893,16.67
Sydney,1894,16.83
Sydney,1895,16.85
Sydney,1896,16.85
Sydney,1897,17.08
Sydney,1898,17.04
Sydney,1899,17.06
Sydney,1900,16.98
Sydney,1901,16.86
Sydney,1902,16.98
Sydney,1903,16.87
Sydney,1904,16.58
Sydney,1905,16.57
Sydney,1906,16.92
Sydney,1907,16.87
Sydney,1908,16.67
Sydney,1909,16.47
Sydney,1910,16.93
Sydney,1911,16.85
Sydney,1912,17.10
Sydney,1913,17.23
Sydney,1914,17.87
Sydney,1915,17.31
Sydney,1916,16.97
Sydney,1917,16.55
Sydney,1918,16.56
Sydney,1919,17.51
Sydney,1920,16.65
Sydney,1921,17.15
Sydney,1922,17.22
Sydney,1923,17.20
Sydney,1924,16.65
Sydney,1925,16.55
Sydney,1926,17.25
Sydney,1927,16.42
Sydney,1928,17.40
Sydney,1929,16.69
Sydney,1930,17.10
Sydney,1931,16.86
Sydney,1932,16.97
Sydney,1933,16.76
Sydney,1934,16.89
Sydney,1935,16.55
Sydney,1936,16.79
Sydney,1937,16.97
Sydney,1938,17.39
Sydney,1939,17.33
Sydney,1940,17.64
Sydney,1941,16.86
Sydney,1942,17.30
Sydney,1943,16.31
Sydney,1944,16.99
Sydney,1945,16.89
Sydney,1946,17.04
Sydney,1947,16.94
Sydney,1948,16.42
Sydney,1949,16.55
Sydney,1950,17.14
Sydney,1951,16.73
Sydney,1952,16.83
Sydney,1953,16.73
Sydney,1954,16.93
Sydney,1955,16.99
Sydney,1956,16.64
Sydney,1957,17.06
Sydney,1958,17.41
Sydney,1959,17.23
Sydney,1960,16.68
Sydney,1961,16.86
Sydney,1962,16.74
Sydney,1963,16.93
Sydney,1964,16.96
Sydney,1965,17.00
Sydney,1966,16.64
Sydney,1967,16.85
Sydney,1968,17.27
Sydney,1969,17.18
Sydney,1970,16.78
Sydney,1971,16.84
Sydney,1972,17.03
Sydney,1973,17.81
Sydney,1974,16.98
Sydney,1975,17.34
Sydney,1976,17.01
Sydney,1977,17.34
Sydney,1978,17.16
Sydney,1979,17.56
Sydney,1980,18.00
Sydney,1981,17.49
Sydney,1982,17.30
Sydney,1983,17.47
Sydney,1984,16.91
Sydney,1985,17.09
Sydney,1986,17.06
Sydney,1987,17.37
Sydney,1988,17.89
Sydney,1989,17.26
Sydney,1990,17.47
Sydney,1991,17.85
Sydney,1992,16.89
Sydney,1993,17.42
Sydney,1994,17.36
Sydney,1995,16.95
Sydney,1996,17.05
Sydney,1997,17.51
Sydney,1998,18.05
Sydney,1999,17.55
Sydney,2000,17.57
Sydney,2001,17.85
Sydney,2002,17.73
Sydney,2003,17.59
Sydney,2004,17.87
Sydney,2005,18.03
Sydney,2006,17.75
Sydney,2007,18.02
Sydney,2008,17.32
Sydney,2009,18.18
Sydney,2010,18.00
Sydney,2011,17.71
Sydney,2012,17.47
Sydney,2013,18.09
